,subject,block,clf,nth_letter,correct,correct_sofar,auc,earliest_correct,first_valid,num_target_flashes,mandatory_target_flashes,sample_rate,ntime_features,letter_memory,lowpass,early_stop_sim,postfix_sim
144,1,3,slda,3,False,1,0.721153846153846,,7,,2,40,27,inf,8,False,False
145,1,3,toep_lda,3,True,3,0.7728365384615384,45,7,11,2,40,27,inf,8,False,False
146,1,3,slda,4,True,2,0.8028846153846154,24,9,6,1,40,27,inf,8,False,False
147,1,3,toep_lda,4,True,4,0.9230769230769231,18,9,4,1,40,27,inf,8,False,False
148,1,3,slda,5,True,3,0.8485576923076923,30,5,7,2,40,27,inf,8,False,False
149,1,3,toep_lda,5,True,5,0.96875,20,5,5,2,40,27,inf,8,False,False
150,1,3,slda,6,True,4,0.7872596153846154,65,6,15,1,40,27,inf,8,False,False
151,1,3,toep_lda,6,True,6,0.96875,14,6,3,1,40,27,inf,8,False,False
152,1,3,slda,7,True,5,0.8233173076923076,48,6,11,1,40,27,inf,8,False,False
153,1,3,toep_lda,7,True,7,0.9591346153846154,15,6,3,1,40,27,inf,8,False,False
154,1,3,slda,8,False,5,0.7572115384615384,,5,,2,40,27,inf,8,False,False
155,1,3,toep_lda,8,True,8,0.9579326923076923,12,5,3,2,40,27,inf,8,False,False
156,1,3,slda,9,True,6,0.782451923076923,63,6,15,2,40,27,inf,8,False,False
157,1,3,toep_lda,9,True,9,0.9206730769230769,24,6,5,2,40,27,inf,8,False,False
158,1,3,slda,10,True,7,0.8713942307692308,12,5,2,2,40,27,inf,8,False,False
159,1,3,toep_lda,10,True,10,0.9855769230769231,9,5,2,2,40,27,inf,8,False,False
160,1,3,slda,11,True,8,0.8497596153846154,49,6,12,2,40,27,inf,8,False,False
161,1,3,toep_lda,11,True,11,0.9723557692307693,24,6,5,2,40,27,inf,8,False,False
162,1,3,slda,12,True,9,0.8677884615384616,13,10,2,1,40,27,inf,8,False,False
163,1,3,toep_lda,12,True,12,0.9807692307692308,13,10,2,1,40,27,inf,8,False,False
164,1,3,slda,13,True,10,0.8677884615384615,18,5,3,1,40,27,inf,8,False,False
165,1,3,toep_lda,13,True,13,0.9855769230769231,13,5,3,1,40,27,inf,8,False,False
166,1,3,slda,14,True,11,0.905048076923077,29,7,8,1,40,27,inf,8,False,False
167,1,3,toep_lda,14,True,14,0.9891826923076923,25,7,7,1,40,27,inf,8,False,False
168,1,3,slda,15,True,12,0.8389423076923077,31,5,8,1,40,27,inf,8,False,False
169,1,3,toep_lda,15,True,15,0.9627403846153847,14,5,3,1,40,27,inf,8,False,False
170,1,3,slda,16,True,13,0.9170673076923077,19,8,5,2,40,27,inf,8,False,False
171,1,3,toep_lda,16,True,16,1.0,13,8,3,2,40,27,inf,8,False,False
172,1,3,slda,17,True,14,0.8137019230769231,10,9,2,1,40,27,inf,8,False,False
173,1,3,toep_lda,17,True,17,0.9891826923076923,13,9,3,1,40,27,inf,8,False,False
174,1,3,slda,18,True,15,0.8629807692307693,44,7,11,2,40,27,inf,8,False,False
175,1,3,toep_lda,18,True,18,0.9771634615384615,17,7,4,2,40,27,inf,8,False,False
176,1,3,slda,19,True,16,0.8653846153846154,19,7,5,1,40,27,inf,8,False,False
177,1,3,toep_lda,19,True,19,0.9963942307692307,11,7,2,1,40,27,inf,8,False,False
178,1,3,slda,20,True,17,0.8581730769230769,34,6,8,1,40,27,inf,8,False,False
