,subject,block,clf,nth_letter,correct,correct_sofar,auc,sample_rate,ntime_features,letter_memory,lowpass
111,1,1,toep_lda,56,True,53,0.984375,100,66,inf,8
112,1,1,slda,57,True,45,0.8209134615384616,100,66,inf,8
113,1,1,toep_lda,57,True,54,0.9927884615384615,100,66,inf,8
114,1,1,slda,58,True,46,0.9050480769230769,100,66,inf,8
115,1,1,toep_lda,58,True,55,0.9951923076923076,100,66,inf,8
116,1,1,slda,59,True,47,0.8846153846153846,100,66,inf,8
117,1,1,toep_lda,59,True,56,0.9927884615384616,100,66,inf,8
118,1,1,slda,60,True,48,0.9026442307692308,100,66,inf,8
119,1,1,toep_lda,60,True,57,0.9939903846153846,100,66,inf,8
120,1,1,slda,61,True,49,0.907451923076923,100,66,inf,8
121,1,1,toep_lda,61,True,58,1.0,100,66,inf,8
122,1,1,slda,62,True,50,0.9230769230769231,100,66,inf,8
123,1,1,toep_lda,62,True,59,0.9807692307692307,100,66,inf,8
124,1,1,slda,63,True,51,0.9350961538461539,100,66,inf,8
125,1,1,toep_lda,63,True,60,0.9903846153846154,100,66,inf,8
126,1,2,slda,1,False,0,0.7391826923076923,100,66,inf,8
127,1,2,toep_lda,1,True,1,0.7932692307692308,100,66,inf,8
128,1,2,slda,2,True,1,0.75,100,66,inf,8
129,1,2,toep_lda,2,False,1,0.7572115384615384,100,66,inf,8
130,1,2,slda,3,False,1,0.6887019230769231,100,66,inf,8
131,1,2,toep_lda,3,True,2,0.7776442307692307,100,66,inf,8
132,1,2,slda,4,False,1,0.6586538461538461,100,66,inf,8
133,1,2,toep_lda,4,False,2,0.7463942307692308,100,66,inf,8
134,1,2,slda,5,False,1,0.7139423076923077,100,66,inf,8
135,1,2,toep_lda,5,True,3,0.8581730769230769,100,66,inf,8
136,1,2,slda,6,False,1,0.71875,100,66,inf,8
137,1,2,toep_lda,6,True,4,0.830528846153846,100,66,inf,8
138,1,2,slda,7,True,2,0.7572115384615384,100,66,inf,8
139,1,2,toep_lda,7,True,5,0.7788461538461539,100,66,inf,8
140,1,2,slda,8,True,3,0.8112980769230769,100,66,inf,8
141,1,2,toep_lda,8,True,6,0.9663461538461537,100,66,inf,8
142,1,2,slda,9,True,4,0.795673076923077,100,66,inf,8
143,1,2,toep_lda,9,True,7,0.907451923076923,100,66,inf,8
144,1,2,slda,10,True,5,0.7716346153846153,100,66,inf,8
145,1,2,toep_lda,10,True,8,0.8581730769230769,100,66,inf,8
146,1,2,slda,11,True,6,0.8076923076923076,100,66,inf,8
147,1,2,toep_lda,11,True,9,0.921875,100,66,inf,8
148,1,2,slda,12,False,6,0.6923076923076923,100,66,inf,8
149,1,2,toep_lda,12,True,10,0.8052884615384616,100,66,inf,8
150,1,2,slda,13,True,7,0.7668269230769231,100,66,inf,8
151,1,2,toep_lda,13,True,11,0.9206730769230769,100,66,inf,8
152,1,2,slda,14,True,8,0.8653846153846154,100,66,inf,8
153,1,2,toep_lda,14,True,12,0.9591346153846154,100,66,inf,8
154,1,2,slda,15,True,9,0.8305288461538461,100,66,inf,8
155,1,2,toep_lda,15,True,13,0.8990384615384616,100,66,inf,8
156,1,2,slda,16,True,10,0.8269230769230769,100,66,inf,8
157,1,2,toep_lda,16,True,14,0.9615384615384616,100,66,inf,8
158,1,2,slda,17,True,11,0.8665865384615384,100,66,inf,8
159,1,2,toep_lda,17,True,15,0.9374999999999999,100,66,inf,8
160,1,2,slda,18,True,12,0.8353365384615384,100,66,inf,8
161,1,2,toep_lda,18,True,16,0.9615384615384616,100,66,inf,8
162,1,2,slda,19,True,13,0.908653846153846,100,66,inf,8
163,1,2,toep_lda,19,True,17,0.9831730769230769,100,66,inf,8
164,1,2,slda,20,False,13,0.7992788461538463,100,66,inf,8
165,1,2,toep_lda,20,True,18,0.9711538461538461,100,66,inf,8
166,1,2,slda,21,True,14,0.8737980769230769,100,66,inf,8
167,1,2,toep_lda,21,True,19,0.9771634615384616,100,66,inf,8
168,1,2,slda,22,True,15,0.889423076923077,100,66,inf,8
169,1,2,toep_lda,22,True,20,0.9855769230769231,100,66,inf,8
170,1,2,slda,23,True,16,0.84375,100,66,inf,8
171,1,2,toep_lda,23,True,21,0.96875,100,66,inf,8
172,1,2,slda,24,False,16,0.7079326923076924,100,66,inf,8
173,1,2,toep_lda,24,True,22,0.873798076923077,100,66,inf,8
174,1,2,slda,25,True,17,0.8786057692307693,100,66,inf,8
175,1,2,toep_lda,25,True,23,0.9495192307692307,100,66,inf,8
176,1,2,slda,26,True,18,0.7920673076923077,100,66,inf,8
177,1,2,toep_lda,26,True,24,0.9026442307692307,100,66,inf,8
178,1,2,slda,27,True,19,0.8810096153846154,100,66,inf,8
179,1,2,toep_lda,27,True,25,0.9735576923076923,100,66,inf,8
180,1,2,slda,28,False,19,0.7139423076923077,100,66,inf,8
181,1,2,toep_lda,28,True,26,0.8786057692307693,100,66,inf,8
182,1,2,slda,29,True,20,0.842548076923077,100,66,inf,8
183,1,2,toep_lda,29,True,27,0.9459134615384616,100,66,inf,8
184,1,2,slda,30,True,21,0.8737980769230769,100,66,inf,8
185,1,2,toep_lda,30,True,28,0.985576923076923,100,66,inf,8
186,1,2,slda,31,True,22,0.8629807692307693,100,66,inf,8
187,1,2,toep_lda,31,True,29,0.9759615384615384,100,66,inf,8
188,1,2,slda,32,True,23,0.8185096153846154,100,66,inf,8
189,1,2,toep_lda,32,True,30,0.9723557692307693,100,66,inf,8
190,1,2,slda,33,True,24,0.8317307692307692,100,66,inf,8
191,1,2,toep_lda,33,True,31,0.967548076923077,100,66,inf,8
192,1,2,slda,34,True,25,0.8353365384615385,100,66,inf,8
193,1,2,toep_lda,34,True,32,0.9603365384615385,100,66,inf,8
194,1,2,slda,35,True,26,0.8365384615384616,100,66,inf,8
195,1,2,toep_lda,35,True,33,0.9579326923076923,100,66,inf,8
196,1,2,slda,36,True,27,0.7908653846153846,100,66,inf,8
197,1,2,toep_lda,36,True,34,0.9579326923076923,100,66,inf,8
198,1,2,slda,37,True,28,0.8689903846153846,100,66,inf,8
199,1,2,toep_lda,37,True,35,0.9783653846153846,100,66,inf,8
200,1,2,slda,38,True,29,0.8221153846153846,100,66,inf,8
201,1,2,toep_lda,38,True,36,0.9014423076923077,100,66,inf,8
202,1,2,slda,39,True,30,0.9290865384615385,100,66,inf,8
203,1,2,toep_lda,39,True,37,0.9939903846153847,100,66,inf,8
204,1,2,slda,40,True,31,0.8377403846153846,100,66,inf,8
205,1,2,toep_lda,40,True,38,0.985576923076923,100,66,inf,8
206,1,2,slda,41,True,32,0.8569711538461539,100,66,inf,8
207,1,2,toep_lda,41,True,39,0.9723557692307693,100,66,inf,8
208,1,2,slda,42,True,33,0.8137019230769231,100,66,inf,8
209,1,2,toep_lda,42,True,40,0.9639423076923077,100,66,inf,8
210,1,2,slda,43,True,34,0.8485576923076923,100,66,inf,8
211,1,2,toep_lda,43,True,41,0.9639423076923077,100,66,inf,8
212,1,2,slda,44,True,35,0.860576923076923,100,66,inf,8
213,1,2,toep_lda,44,True,42,0.936298076923077,100,66,inf,8
214,1,2,slda,45,True,36,0.8125,100,66,inf,8
215,1,2,toep_lda,45,True,43,0.9194711538461537,100,66,inf,8
